"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0973617287670778,1
"Lat","2.5",0.0466502026075569,2
"Lon","57.5",0.0137355482573028,3
"Lon","42.5",0.0130217043077405,4
"Lat","7.5",0.0128103413253699,5
"Lat","-7.5",0.00964604379071309,6
"Lon","37.5",0.00814427604653327,7
"Lon","47.5",0.00802812180847719,8
"Lon","52.5",0.00738308712941877,9
"Qrt","2",0.00616755360890548,10
"Qrt","1",0.00603319600117161,11
"Lon","62.5",0.00576278110622598,12
"Lon","82.5",0.00550666539477889,13
"Lon","77.5",0.00534005881346175,14
"Lon","72.5",0.00467189961328333,15
"Lon","67.5",0.00457257878306164,16
"Lat","17.5",0.00400339342138049,17
"Lat","-12.5",0.00389807851729201,18
"CQrt","14;23",0.00347541898927341,19
"CQrt","134;2",0.00159378433067207,20
"Lon","87.5",0.00320620937673263,21
"Lat","-17.5",0.00278240910815179,22
"Lat","12.5",0.00269188678812496,23
"Qrt","3",0.00223182327755185,24
"CQrt","124;3",0.00382053797824768,25
"Lat","-22.5",0.00128798475602948,26
"Lon","92.5",0.000804012561923302,27
