"Cell","Key","Value","Var_explained"
1,"Lat","-7.5",0.13829228339964
1,"Lon","42.5",0.132404210075085
1,"Lon","37.5",0.11800327867842
1,"Lon","47.5",0.116634478364252
1,"Lat","-12.5",0.113974451481046
1,"Lat","-17.5",0.106455431718551
2,"Lon","67.5",0.105280857979789
2,"Lat","2.5",0.104360136282251
2,"Lon","47.5",0.10362422221521
1,"CQrt","134;2",0.103274807747218
1,"Lon","72.5",0.10291714418189
1,"Qrt","2",0.102593264879632
2,"Lon","52.5",0.102546927122747
1,"Lon","57.5",0.102411344981536
2,"Lon","72.5",0.102290463268276
1,"Lon","62.5",0.102091163805952
1,"Lon","82.5",0.101713153827226
2,"Lon","42.5",0.101390435660505
2,"Lat","12.5",0.100904233407887
1,"Lon","52.5",0.100871142748031
1,"Lon","77.5",0.100393197679091
1,"CQrt","124;3",0.10028073922588
1,"Lon","87.5",0.100184689403199
2,"Lat","7.5",0.100102280978111
1,"Lat","-22.5",0.0997664834469259
1,"Qrt","3",0.0995242235012898
1,"CQrt","14;23",0.0994150741893716
2,"Lon","77.5",0.0993617579164506
2,"Lat","17.5",0.0992836244898766
2,"Qrt","2",0.0992695918832524
2,"CQrt","124;3",0.0991539761816759
1,"Lon","92.5",0.0991024782315078
2,"Qrt","1",0.0990865050114531
2,"Lon","82.5",0.0990280074812856
2,"CQrt","14;23",0.0989149083834203
2,"Lon","57.5",0.098587662509701
1,"Lon","67.5",0.0984408582934864
2,"Lon","87.5",0.0983751579192232
2,"Lon","62.5",0.0981734134627545
2,"Qrt","3",0.0981143736778671
1,"Qrt","1",0.0979949248595816
2,"CQrt","134;2",0.0978557142451132
2,"Lon","92.5",0.0974951130690042
