"Cell","Key","Value","Improvement"
1,"Lon","37.5",2.2146310337007
1,"Lat","-17.5",0.822539967253761
1,"Lon","42.5",0.815156791539948
1,"Lon","67.5",0.419937196256342
1,"Lat","-22.5",0.407177040469151
1,"Lon","62.5",0.350878280133202
1,"Lon","92.5",0.330079377381708
1,"Lat","-12.5",0.304812506911276
1,"CQrt","14;23",0.284281626346001
1,"Lon","72.5",0.2839377693806
1,"Lon","57.5",0.255932145077622
1,"CQrt","124;3",0.241200496021065
1,"Lon","47.5",0.207390732832209
1,"CQrt","134;2",0.205530074966191
1,"Lon","87.5",0.201677976108613
1,"Lon","77.5",0.171814778569114
1,"Qrt","3",0.163280232667148
1,"Qrt","2",0.153658302408076
1,"Lon","52.5",0.130676077137423
1,"Qrt","1",0.130016622972107
2,"Lon","37.5",0.267704061631207
2,"CQrt","134;2",0.074226614693913
2,"CQrt","124;3",0.0463299620439841
2,"CQrt","14;23",0.0437052879695727
2,"Qrt","3",0.0416348153729302
2,"Qrt","2",0.0369830718038031
2,"Qrt","1",0.0311779881184009
2,"Lat","-2.5",0
3,"Lon","57.5",11.576401754777
3,"Lon","62.5",7.36842748610115
3,"Lon","52.5",4.43614487755667
3,"Lon","72.5",3.975162868707
3,"Lon","82.5",2.40906708268267
3,"Lon","77.5",1.71298866844609
3,"Lon","67.5",1.60114843377687
3,"Lon","87.5",1.59821922505535
3,"Lon","92.5",0.695513390784754
3,"Qrt","3",0.444554334190116
3,"CQrt","134;2",0.417179453877225
3,"CQrt","14;23",0.263815530583315
3,"Qrt","1",0.226631006018806
3,"Qrt","2",0.22356090902008
3,"CQrt","124;3",0.221639551345106
3,"Lon","47.5",0.14465080351556
3,"Lat","-2.5",0
4,"Lon","67.5",2.51787309272368
4,"Lat","2.5",2.22513126141212
4,"Lon","47.5",1.99114868855759
4,"Lon","52.5",1.64862462393148
4,"Lon","72.5",1.56708239610816
4,"Lon","42.5",1.28092021394878
4,"Lat","12.5",1.12633306975476
4,"Lat","7.5",0.871353716553131
4,"Lon","77.5",0.635905722031112
4,"Lat","17.5",0.611063337580617
4,"Qrt","2",0.606601695184509
4,"CQrt","14;23",0.569841887853272
4,"Qrt","1",0.548389548904652
4,"Lon","82.5",0.529790362903441
4,"CQrt","134;2",0.493830705259825
4,"Lon","57.5",0.389783459910632
4,"Lon","87.5",0.322218002135287
4,"Lon","62.5",0.258073709889686
4,"Qrt","3",0.239302114960992
4,"CQrt","124;3",0.157061806915408
4,"Lon","92.5",0.0424093023093519
