"Cell","Key","Value","Var_explained","Rank"
3,"Lon","57.5",0.198123214790512,1
3,"Lon","62.5",0.184888436574837,2
3,"Lon","52.5",0.175665920582129,3
3,"Lon","72.5",0.174216055573695,4
4,"Lon","67.5",0.16963263710446,5
3,"Lon","82.5",0.169290424125131,6
4,"Lat","2.5",0.168711915406922,7
1,"Lon","37.5",0.168678890446191,8
4,"Lon","47.5",0.16797600133988,9
3,"Lon","77.5",0.167101141861283,10
4,"Lon","52.5",0.166898706247418,11
3,"Lon","67.5",0.166749385741373,12
3,"Lon","87.5",0.166740172893266,13
4,"Lon","72.5",0.166642242392947,14
4,"Lon","42.5",0.165742214785175,15
4,"Lat","12.5",0.165256012532557,16
4,"Lat","7.5",0.164454060102782,17
1,"Lat","-17.5",0.164300532750993,18
1,"Lon","42.5",0.164277311436683,19
3,"Lon","92.5",0.163901013062964,20
4,"Lon","77.5",0.163713537041121,21
4,"Lat","17.5",0.163635403614547,22
4,"Qrt","2",0.163621371007923,23
4,"CQrt","124;3",0.163505755306347,24
4,"Qrt","1",0.163438284136124,25
4,"Lon","82.5",0.163379786605956,26
4,"CQrt","14;23",0.163266687508091,27
3,"Qrt","3",0.163111705133975,28
1,"Lon","67.5",0.163034280145118,29
3,"CQrt","14;23",0.163025606587149,30
1,"Lat","-22.5",0.162994147335111,31
4,"Lon","57.5",0.162939441634372,32
1,"Lon","62.5",0.162817078380006,33
1,"Lon","92.5",0.162751662375185,34
4,"Lon","87.5",0.162726937043894,35
1,"Lat","-12.5",0.16267219386955,36
1,"CQrt","124;3",0.162607620839035,37
1,"Lon","72.5",0.16260653935175,38
2,"Lon","37.5",0.162555481643703,39
3,"CQrt","124;3",0.16254325156749,40
4,"Lon","62.5",0.162525192587425,41
1,"Lon","57.5",0.162518457010277,42
1,"CQrt","134;2",0.162472123526381,43
4,"Qrt","3",0.162466152802538,44
3,"Qrt","1",0.162426300059653,45
3,"Qrt","2",0.162416644094506,46
3,"CQrt","134;2",0.162410601105391,47
1,"Lon","47.5",0.162365786203773,48
1,"CQrt","14;23",0.162359934125643,49
1,"Lon","87.5",0.162347818634722,50
1,"Lon","77.5",0.16225389391679,51
1,"Qrt","3",0.162227051351944,52
4,"CQrt","134;2",0.162207493369784,53
1,"Qrt","2",0.162196788782628,54
3,"Lon","47.5",0.162168458702047,55
1,"Lon","52.5",0.162124505865733,56
1,"Qrt","1",0.162122431772817,57
2,"CQrt","14;23",0.161946962927462,58
2,"CQrt","134;2",0.161859223319943,59
2,"CQrt","124;3",0.161850968283899,60
4,"Lon","92.5",0.161846892193675,61
2,"Qrt","3",0.16184445630358,62
2,"Qrt","2",0.161829825797184,63
2,"Qrt","1",0.161811567844498,64
2,"Lat","-2.5",0.161713507891749,65
3,"Lat","-2.5",0.161713507891749,66
