"Improve","Key","Value"
30.9559890410892,"Lat",-2.5
14.8323492091949,"Lat",2.5
4.36719321555665,"Lon",57.5
4.14022779742481,"Lon",42.5
4.07302531192272,"Lat",7.5
3.06694252101443,"Lat",-7.5
2.5894581293569,"Lon",37.5
2.5525270953076,"Lon",47.5
2.34743946273284,"Lon",52.5
1.8322660354288,"Lon",62.5
1.75083449906197,"Lon",82.5
1.69786223192295,"Lon",77.5
1.48542219886076,"Lon",72.5
1.45384331698369,"Lon",67.5
1.27287184039324,"Lat",17.5
1.23938715335862,"Lat",-12.5
1.01940858678881,"Lon",87.5
0.884662042781201,"Lat",-17.5
0.855880631624132,"Lat",12.5
0.409512469608671,"Lat",-22.5
0.255634368565552,"Lon",92.5
