"Cell","Key","Value","Var_explained"
1,"Lat","-7.5",0.13091845301842
1,"Lon","42.5",0.129336103048761
1,"Lon","47.5",0.119338287543529
1,"Lon","37.5",0.104814787030497
3,"Lat","-2.5",0.10363727872416
1,"Lat","-12.5",0.102581100149715
1,"Qrt","2",0.0941612341222744
1,"Lon","52.5",0.094003036762714
3,"Lat","2.5",0.0939963183295671
1,"Lat","-17.5",0.0922490241548541
3,"Lon","67.5",0.0913767700671859
2,"Lon","52.5",0.0894706378842603
1,"CQrt","134;2",0.0894012187606051
1,"Qrt","3",0.0893366099905995
2,"Lon","47.5",0.088537262994202
3,"Qrt","1",0.087019231191614
3,"CQrt","14;23",0.0865712267972683
3,"CQrt","124;3",0.0860988256378188
2,"Lat","2.5",0.0860331987854358
2,"Lon","42.5",0.085821234588233
3,"Lat","12.5",0.0854998056617965
1,"CQrt","124;3",0.0854458930431601
3,"Qrt","2",0.0850486440034773
3,"Lat","7.5",0.08499428197618
3,"Lat","-7.5",0.084637879757253
3,"Lon","72.5",0.0846099624004755
3,"Lon","82.5",0.0844553150088641
1,"Lat","-22.5",0.0844464727934886
1,"CQrt","14;23",0.0843980593028498
3,"Lon","77.5",0.0842476496646465
3,"Lat","17.5",0.083961622341021
2,"Lat","7.5",0.083847069217302
3,"Lon","87.5",0.0831722597971528
2,"Qrt","2",0.08289515449067
3,"CQrt","134;2",0.0828633790361818
2,"Qrt","1",0.082860582022049
3,"Qrt","3",0.0828435578824109
2,"Lat","17.5",0.0825681180682919
1,"Qrt","1",0.0823815232868065
2,"CQrt","124;3",0.0823213711297086
2,"CQrt","14;23",0.0823070803352647
2,"Lat","12.5",0.0822845031530767
3,"Lon","92.5",0.0821840877609882
2,"Qrt","3",0.0821724299586254
2,"CQrt","134;2",0.0821596168040607
3,"Lon","62.5",0.0820461745656327
