"Cell","Key","Value","Improvement"
1,"Lon","47.5",13.2835808341006
1,"Lat","-2.5",12.4442932828319
1,"Lon","42.5",11.6680831957829
1,"Lon","52.5",6.36816837956439
1,"Lon","37.5",4.26568135638581
1,"Lat","-7.5",3.55955717677989
1,"Lat","-12.5",2.35505669450822
1,"Lat","-17.5",1.74229950881227
1,"CQrt","124;3",0.921419528991009
1,"CQrt","134;2",0.917529053994258
1,"Qrt","3",0.70774361686108
1,"Qrt","2",0.625585227314332
1,"Lat","-22.5",0.587491545332341
1,"Qrt","1",0.237785918403915
1,"CQrt","14;23",0.215786194296925
2,"Lon","47.5",0.858372323363369
2,"Lon","52.5",0.321547148232867
2,"Lat","7.5",0.23418803138054
2,"Lat","17.5",0.138581523047833
2,"Qrt","1",0.0942823425353936
2,"Qrt","2",0.0833670517240535
2,"Lat","12.5",0.0750742145562526
2,"CQrt","124;3",0.0509595708434745
2,"CQrt","134;2",0.0459322997671734
2,"Qrt","3",0.0387463230701997
2,"CQrt","14;23",0.0274602801631545
3,"Lat","-2.5",6.93314219904869
3,"Lat","2.5",3.86781593481874
3,"Lon","67.5",3.03493520920165
3,"Qrt","1",1.64946344954296
3,"CQrt","134;2",1.5070212466635
3,"CQrt","14;23",1.35682213557448
3,"Lat","12.5",1.16636479624867
3,"Qrt","2",1.02291874688626
3,"Lat","7.5",1.00563443668989
3,"Lat","-7.5",0.892316983076398
3,"Lon","72.5",0.883440708985745
3,"Lon","82.5",0.834270845009542
3,"Lon","77.5",0.768244017002417
3,"Lat","17.5",0.6773021365766
3,"Lon","87.5",0.426325715277017
3,"CQrt","124;3",0.32811762496658
3,"Qrt","3",0.321815524267095
3,"Lon","92.5",0.112138168388356
3,"Lon","62.5",0.0682889124427675
