"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-2.5",0.10363727872416,1
1,"Lat","2.5",0.0686997129678305,2
1,"Lon","42.5",0.0559288777022718,3
1,"Lon","47.5",0.0496949578889617,4
1,"Lon","37.5",0.0455283723523368,5
3,"Lon","67.5",0.0451790876802835,6
1,"Lat","7.5",0.0445527558273028,7
1,"Lon","52.5",0.0439370560930937,8
1,"Lat","-7.5",0.0425211593397449,9
3,"Lon","72.5",0.0407903645535137,10
3,"Lat","12.5",0.0405957624481311,11
2,"Lat","-7.5",0.0404725108783128,12
1,"Lat","-12.5",0.0399591729307886,13
1,"Lat","-17.5",0.0392771477122376,14
3,"Lat","2.5",0.0389107119928858,15
2,"Qrt","1",0.0383657085853293,16
2,"Lon","72.5",0.038280900737847,17
2,"Lon","82.5",0.0380730357407862,18
1,"Qrt","1",0.0379127241937433,19
1,"Qrt","2",0.0379000897400165,20
1,"CQrt","14;23",0.0377325159999199,21
1,"Lat","17.5",0.0375483567276312,22
3,"CQrt","124;3",0.037449284151728,23
3,"CQrt","14;23",0.0373524056273368,24
2,"Lon","87.5",0.0372047148028413,25
1,"CQrt","124;3",0.0371249655148471,26
1,"Lat","12.5",0.0371122067171253,27
1,"Lat","-22.5",0.0370604207367288,28
3,"Lat","17.5",0.0370329911664224,29
3,"Lon","77.5",0.0370252430274003,30
2,"Lon","77.5",0.0370048135148556,31
1,"CQrt","134;2",0.0369736709584312,32
2,"CQrt","14;23",0.0369713675192166,33
2,"Lon","62.5",0.0369290793484099,34
2,"Qrt","2",0.036924077963846,35
2,"CQrt","134;2",0.0368658008869433,36
2,"Qrt","3",0.0368496363572809,37
3,"Lon","82.5",0.0367814651294661,38
2,"Lon","92.5",0.0366679427035955,39
3,"Lat","7.5",0.0366340590193434,40
3,"Qrt","2",0.0365476525661692,41
1,"Qrt","3",0.0365413952836496,42
3,"Qrt","1",0.0365347825004357,43
3,"Qrt","3",0.0364865270426403,44
3,"Lon","62.5",0.0363806064398282,45
3,"Lon","87.5",0.0363223448880704,46
2,"Lon","67.5",0.0360957800598345,47
2,"CQrt","124;3",0.0359740319663472,48
3,"CQrt","134;2",0.0358086367048562,49
3,"Lon","92.5",0.0356620378164461,50
