"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-7.5",0.13829228339964,1
1,"Lon","42.5",0.132404210075085,2
1,"Lon","37.5",0.118003278678419,3
1,"Lon","47.5",0.116634478364252,4
1,"Lat","-12.5",0.113974451481046,5
1,"Lat","-17.5",0.10645543171855,6
2,"Lon","67.5",0.105280857979789,7
2,"Lat","2.5",0.104360136282251,8
2,"Lon","47.5",0.10362422221521,9
1,"CQrt","134;2",0.103274807747218,10
1,"Lon","72.5",0.102917144181889,11
1,"Qrt","12;34",0.102593264879632,12
2,"Lon","52.5",0.102546927122747,13
1,"Lon","57.5",0.102411344981536,14
2,"Lon","72.5",0.102290463268276,15
1,"Lon","62.5",0.102091163805952,16
1,"Lon","82.5",0.101713153827225,17
2,"Lon","42.5",0.101390435660504,18
2,"Lat","12.5",0.100904233407886,19
1,"Lon","52.5",0.100871142748031,20
1,"Lon","77.5",0.100393197679091,21
1,"CQrt","124;3",0.10028073922588,22
1,"Lon","87.5",0.100184689403198,23
2,"Lat","7.5",0.10010228097811,24
1,"Lat","-22.5",0.0997664834469256,25
1,"Qrt","123;4",0.0995242235012891,26
1,"CQrt","14;23",0.0994150741893713,27
2,"Lon","77.5",0.0993617579164501,28
2,"Lat","17.5",0.0992836244898761,29
2,"Qrt","12;34",0.0992695918832521,30
2,"CQrt","124;3",0.0991539761816754,31
1,"Lon","92.5",0.0991024782315075,32
2,"Qrt","1;234",0.0990865050114526,33
2,"Lon","82.5",0.0990280074812853,34
2,"CQrt","14;23",0.0989149083834198,35
2,"Lon","57.5",0.0985876625097005,36
1,"Lon","67.5",0.0984408582934859,37
2,"Lon","87.5",0.0983751579192229,38
2,"Lon","62.5",0.0981734134627542,39
2,"Qrt","123;4",0.0981143736778665,40
1,"Qrt","1;234",0.0979949248595813,41
2,"CQrt","134;2",0.0978557142451127,42
2,"Lon","92.5",0.097495113069003,43
