"lat","lon","mean_length"
-22.5,37.5,88.6987115222113
-22.5,42.5,85.008254230293
-17.5,37.5,84.5249290117651
-17.5,42.5,78.323086862194
-12.5,37.5,85.2311979469466
-12.5,42.5,75.0592477050168
-12.5,47.5,73.1866495343712
-12.5,52.5,83.1150496180481
-7.5,37.5,79.1863133226049
-7.5,42.5,76.8433697938715
-7.5,47.5,75.5608394836189
-7.5,52.5,74.0191829411947
-7.5,57.5,75.8983660890352
-7.5,62.5,76.3700657992926
-7.5,67.5,79.473761753304
-7.5,72.5,80.1075204884403
-7.5,77.5,87.3068278694877
-7.5,87.5,80.5
-7.5,92.5,69.829623418204
-7.5,97.5,91.665438242835
-2.5,37.5,85.8761374507149
-2.5,42.5,78.3371973568993
-2.5,47.5,66.278180713295
-2.5,52.5,60.7568998833014
-2.5,57.5,61.9494107555806
-2.5,62.5,71.1688086088344
-2.5,67.5,76.9525041165511
-2.5,72.5,63.5857741029362
-2.5,77.5,81.785714377012
-2.5,82.5,65.8159404182874
-2.5,87.5,75.6199371849537
-2.5,92.5,77.9985241005769
-2.5,97.5,75.7822732363841
2.5,42.5,85.2712582972983
2.5,47.5,84.8723658823171
2.5,52.5,77.8841956847274
2.5,57.5,73.0654497593084
2.5,62.5,81.0905479481853
2.5,67.5,84.8864583866397
2.5,72.5,74.6300520571852
2.5,77.5,68.6213834030861
2.5,82.5,79.7768422320563
2.5,87.5,78.0015497099755
2.5,92.5,83.4275658629094
2.5,97.5,80.6368786839041
7.5,47.5,74.5134887012351
7.5,52.5,85.7762016578848
7.5,57.5,81.7568460573496
7.5,62.5,83.8146974811651
7.5,67.5,85.9999796102298
7.5,87.5,79.4458438287154
7.5,92.5,88.6507936507936
12.5,47.5,90.385739333723
12.5,52.5,81.8543189969895
12.5,57.5,81.7335942193002
12.5,62.5,85.7825845084355
12.5,67.5,84.6797922188356
17.5,57.5,73.8388765566303
17.5,62.5,66.3435416482881
17.5,67.5,63.2236722104752
22.5,57.5,87.151712707661
22.5,62.5,94.8712454065173
