"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-7.5",0.13829228339964,1
1,"Lon","42.5",0.132404210075085,2
1,"Lon","37.5",0.11800327867842,3
1,"Lon","47.5",0.116634478364252,4
1,"Lat","-12.5",0.113974451481046,5
1,"Lat","-17.5",0.106455431718551,6
2,"Lon","67.5",0.105280857979789,7
2,"Lat","2.5",0.104360136282251,8
2,"Lon","47.5",0.10362422221521,9
1,"CQrt","134;2",0.103274807747218,10
1,"Lon","72.5",0.10291714418189,11
1,"Qrt","12;34",0.102593264879632,12
2,"Lon","52.5",0.102546927122747,13
1,"Lon","57.5",0.102411344981536,14
2,"Lon","72.5",0.102290463268276,15
1,"Lon","62.5",0.102091163805952,16
1,"Lon","82.5",0.101713153827226,17
2,"Lon","42.5",0.101390435660505,18
2,"Lat","12.5",0.100904233407887,19
1,"Lon","52.5",0.100871142748031,20
1,"Lon","77.5",0.100393197679091,21
1,"CQrt","124;3",0.10028073922588,22
1,"Lon","87.5",0.100184689403199,23
2,"Lat","7.5",0.100102280978111,24
1,"Lat","-22.5",0.0997664834469259,25
1,"Qrt","123;4",0.0995242235012898,26
1,"CQrt","14;23",0.0994150741893716,27
2,"Lon","77.5",0.0993617579164506,28
2,"Lat","17.5",0.0992836244898766,29
2,"Qrt","12;34",0.0992695918832524,30
2,"CQrt","124;3",0.0991539761816759,31
1,"Lon","92.5",0.0991024782315078,32
2,"Qrt","1;234",0.0990865050114531,33
2,"Lon","82.5",0.0990280074812856,34
2,"CQrt","14;23",0.0989149083834203,35
2,"Lon","57.5",0.098587662509701,36
1,"Lon","67.5",0.0984408582934864,37
2,"Lon","87.5",0.0983751579192232,38
2,"Lon","62.5",0.0981734134627545,39
2,"Qrt","123;4",0.0981143736778671,40
1,"Qrt","1;234",0.0979949248595816,41
2,"CQrt","134;2",0.0978557142451132,42
2,"Lon","92.5",0.0974951130690042,43
